Wkrnr,Wahlkreisname,Bundesland,Wahlberechtigte Zweitstimmen,Wähler Zweitstimmen,Ungültige Zweitstimmen,Gültige Zweitstimmen,Sozialdemokratische Partei Deutschlands Zweitstimmen,DIE LINKE Zweitstimmen,BÜNDNIS 90 DIE GRÜNEN Zweitstimmen,Freie Demokratische Partei Zweitstimmen,Alternative für Deutschland Zweitstimmen,UNION Zweitstimmen
79,Berlin-Steglitz-Zehlendorf,Berlin,221210,180720,1763,178957,34279,16352,25361,25461,15824,53281
80,Berlin-Charlottenburg-Wilmersdorf,Berlin,198672,158034,1387,156647,30351,18367,24770,23280,12374,40085
81,Berlin-Tempelhof-Schöneberg,Berlin,235250,181159,2078,179081,36179,23625,27956,18569,17108,44721
82,Berlin-Neukölln,Berlin,202618,143553,2140,141413,27520,25752,18446,10891,15904,31592
83,Berlin-Friedrichshain-Kreuzberg – Prenzlauer Berg Ost,Berlin,223427,173289,1545,171744,27391,49016,35077,10147,10863,23887
84,Berlin-Treptow-Köpenick,Berlin,205106,157111,1923,155188,24109,39000,12168,10067,26278,31372
85,Berlin-Marzahn-Hellersdorf,Berlin,200704,138992,2053,136939,19797,35698,5621,7290,29618,28620
86,Berlin-Lichtenberg,Berlin,205300,149116,1990,147126,21850,43172,9821,7745,24603,27284
87,Aachen I,Nordrhein-Westfalen,179273,140624,823,139801,34663,14459,17918,19795,8271,38827
88,Aachen II,Nordrhein-Westfalen,228248,173149,1542,171607,60539,10105,8436,19213,14853,52656
89,Heinsberg,Nordrhein-Westfalen,190051,142330,1440,140890,36421,7909,7281,16111,12313,55605
90,Düren,Nordrhein-Westfalen,199675,151595,1461,150134,43816,8809,8198,17155,14432,52412
91,Rhein-Erft-Kreis I,Nordrhein-Westfalen,248982,191505,1637,189868,50014,11392,12526,27398,18091,63664
92,Euskirchen – Rhein-Erft-Kreis II,Nordrhein-Westfalen,246753,187796,1600,186196,43498,11403,12447,27410,18325,66503
93,Köln I,Nordrhein-Westfalen,192574,139718,1087,138631,33666,15271,15800,18067,12290,36565
94,Köln II,Nordrhein-Westfalen,240985,197979,901,197078,38485,21100,30630,33760,9964,56165
95,Köln III,Nordrhein-Westfalen,203647,150629,1104,149525,36849,19118,20973,16850,11731,36500
96,Bonn,Nordrhein-Westfalen,227583,180439,1231,179208,36119,17133,25197,28113,13136,53334
97,Rhein-Sieg-Kreis I,Nordrhein-Westfalen,237415,184295,1538,182757,40922,13038,13757,27267,18237,62334
98,Rhein-Sieg-Kreis II,Nordrhein-Westfalen,216020,174513,1350,173163,34583,11116,15192,30142,15226,61425
99,Oberbergischer Kreis,Nordrhein-Westfalen,208418,156593,1559,155034,35078,9887,9995,21353,16413,56567
100,Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,217425,174420,1891,172529,36221,11042,15581,28787,13777,61423
101,Leverkusen – Köln IV,Nordrhein-Westfalen,212212,155139,1428,153711,41671,14284,13472,18719,14970,43175
102,Wuppertal I,Nordrhein-Westfalen,208129,149950,1383,148567,38696,16100,12754,18437,16431,39341
103,Solingen – Remscheid – Wuppertal II,Nordrhein-Westfalen,222845,164019,1550,162469,40743,12689,11726,22947,16221,51318
104,Mettmann I,Nordrhein-Westfalen,205244,160315,1150,159165,36596,10216,11796,25757,15053,54126
105,Mettmann II,Nordrhein-Westfalen,163229,125496,1056,124440,30492,8458,8599,19691,11926,40601
106,Düsseldorf I,Nordrhein-Westfalen,220764,172947,1037,171910,33493,14675,17148,33940,12029,55052
107,Düsseldorf II,Nordrhein-Westfalen,193175,143599,1053,142546,33218,14111,14379,21277,12968,40606
108,Neuss I,Nordrhein-Westfalen,214779,160050,1275,158775,37438,9895,9583,23585,14887,56983
109,Mönchengladbach,Nordrhein-Westfalen,190552,132006,1170,130836,30547,9627,8169,17946,12373,46786
110,Krefeld I – Neuss II,Nordrhein-Westfalen,201450,155434,1244,154190,34051,9805,10871,26859,12104,54907
111,Viersen,Nordrhein-Westfalen,227423,173280,1262,172018,38368,10342,11591,27576,12841,65475
112,Kleve,Nordrhein-Westfalen,226096,169057,1399,167658,39316,9366,10098,22687,11621,69700
113,Wesel I,Nordrhein-Westfalen,207178,160344,1246,159098,45627,10637,9743,19709,14325,53623
114,Krefeld II – Wesel II,Nordrhein-Westfalen,179118,133705,1175,132530,36714,10090,9307,18032,12186,40955
115,Duisburg I,Nordrhein-Westfalen,167998,121638,2022,119616,37925,10369,7844,12491,13549,30746
116,Duisburg II,Nordrhein-Westfalen,160204,103704,1912,101792,34695,8546,4493,8369,15794,22830
117,Oberhausen – Wesel III,Nordrhein-Westfalen,204816,150312,1451,148861,49165,12373,8228,14890,18560,39085
118,Mülheim – Essen I,Nordrhein-Westfalen,187746,142858,1207,141651,41731,10546,9465,18337,16200,39847
119,Essen II,Nordrhein-Westfalen,163326,110369,1154,109215,34727,9524,6746,10583,16339,25606
120,Essen III,Nordrhein-Westfalen,192918,153336,927,152409,37699,12574,14312,23068,12735,45826
121,Recklinghausen I,Nordrhein-Westfalen,169267,123958,1074,122884,38822,8970,7132,12674,14777,35108
122,Recklinghausen II,Nordrhein-Westfalen,189376,140795,1285,139510,44224,9201,7189,14759,17387,41079
123,Gelsenkirchen,Nordrhein-Westfalen,175210,119414,1348,118066,39524,8703,5489,10834,20113,26452
124,Steinfurt I – Borken I,Nordrhein-Westfalen,202192,154606,1028,153578,35466,8433,9142,19339,9719,67425
125,Bottrop – Recklinghausen III,Nordrhein-Westfalen,202793,151842,1328,150514,47013,10292,7248,15741,18710,44967
126,Borken II,Nordrhein-Westfalen,199978,158146,1090,157056,33697,6540,9220,20609,9405,73881
127,Coesfeld – Steinfurt II,Nordrhein-Westfalen,192946,156813,987,155826,32787,8394,11667,21116,9496,68636
128,Steinfurt III,Nordrhein-Westfalen,195571,152541,1158,151383,41815,9692,11026,17205,10342,57215
129,Münster,Nordrhein-Westfalen,232294,191090,964,190126,39714,19287,27739,25684,9393,62276
130,Warendorf,Nordrhein-Westfalen,209604,163531,1387,162144,38992,8997,10815,21175,12025,65357
131,Gütersloh I,Nordrhein-Westfalen,234272,176708,1681,175027,40104,10595,13817,22848,15081,67175
132,Bielefeld – Gütersloh II,Nordrhein-Westfalen,246216,186152,1536,184616,46883,20522,20567,21364,16514,50995
133,Herford – Minden-Lübbecke II,Nordrhein-Westfalen,228976,168664,1617,167047,47940,11589,11485,19186,18098,52994
134,Minden-Lübbecke I,Nordrhein-Westfalen,204203,151181,1508,149673,43966,9432,9625,16865,15829,49160
135,Lippe I,Nordrhein-Westfalen,170501,128938,1401,127537,35509,8399,8869,15916,14147,40214
136,Höxter – Lippe II,Nordrhein-Westfalen,211026,159883,1692,158191,39038,10188,10194,19543,15197,58939
137,Paderborn – Gütersloh III,Nordrhein-Westfalen,249359,187479,1582,185897,35055,12292,13612,24976,18484,75628
138,Hagen – Ennepe-Ruhr-Kreis I,Nordrhein-Westfalen,207384,150044,1250,148794,43548,10743,8673,18722,17622,42972
139,Ennepe-Ruhr-Kreis II,Nordrhein-Westfalen,178506,137632,1208,136424,40767,11092,11142,17270,13190,37284
140,Bochum I,Nordrhein-Westfalen,206460,156941,1237,155704,46243,15953,13862,17449,15190,39580
141,Herne – Bochum II,Nordrhein-Westfalen,179247,127974,1484,126490,43312,10860,7414,11560,17001,29629
142,Dortmund I,Nordrhein-Westfalen,211316,156097,1174,154923,46424,15506,14702,17193,15197,37967
143,Dortmund II,Nordrhein-Westfalen,203300,143834,1418,142416,46513,12924,10190,15403,15510,34822
144,Unna I,Nordrhein-Westfalen,197873,150831,1251,149580,50205,10313,10254,17196,14689,40697
145,Hamm – Unna II,Nordrhein-Westfalen,235213,171524,1789,169735,53467,11837,8938,17678,19068,51475
146,Soest,Nordrhein-Westfalen,232301,174364,1290,173074,43184,11702,10723,23296,16165,62764
147,Hochsauerlandkreis,Nordrhein-Westfalen,202768,154014,1200,152814,34865,8183,7198,21919,12216,63651
148,Siegen-Wittgenstein,Nordrhein-Westfalen,212912,162306,1347,160959,42551,12624,8857,19125,17154,54648
149,Olpe – Märkischer Kreis I,Nordrhein-Westfalen,206716,152542,1253,151289,35269,8205,6866,20758,13847,61394
150,Märkischer Kreis II,Nordrhein-Westfalen,200546,145474,1252,144222,37193,9427,7060,19328,16688,49061
151,Nordsachsen,Sachsen,163916,118170,1607,116563,14519,17173,3021,9189,31301,34321
152,Leipzig I,Sachsen,220654,161407,1477,159930,20674,31137,11300,13565,33291,37622
153,Leipzig II,Sachsen,227718,175198,1414,173784,22725,39058,18154,14866,27774,38111
154,Leipzig-Land,Sachsen,215616,161321,1930,159391,18139,23368,5157,12859,42823,47944
155,Meißen,Sachsen,201310,152988,2075,150913,13148,20111,5531,13156,49615,39406
156,Bautzen I,Sachsen,213990,161319,2477,158842,14378,22597,3768,12122,52041,42995
157,Görlitz,Sachsen,213021,156089,2369,153720,14249,21534,4476,10810,50551,41000
158,Sächsische Schweiz-Osterzgebirge,Sachsen,202580,156342,1967,154375,12040,19708,4643,12795,54749,39581
159,Dresden I,Sachsen,232636,182849,1731,181118,19246,31004,13936,18610,41812,44104
160,Dresden II – Bautzen II,Sachsen,235464,186818,1654,185164,17977,32040,16588,17684,43126,42792
161,Mittelsachsen,Sachsen,201629,150648,1759,148889,14487,21582,4112,11767,46522,41189
162,Chemnitz,Sachsen,195929,147218,1347,145871,17373,28010,6818,12184,35456,36270
163,Chemnitzer Umland – Erzgebirgskreis II,Sachsen,183483,138891,1708,137183,14524,20972,3850,10542,36746,41947
164,Erzgebirgskreis I,Sachsen,220917,166701,2730,163971,15452,23090,3661,12106,47952,50759
165,Zwickau,Sachsen,207606,150950,2121,148829,16131,24665,4327,11253,38964,45106
166,Vogtlandkreis,Sachsen,193081,142775,1914,140861,16043,22578,4266,10154,37217,42604
167,Waldeck,Hessen,186825,142852,2119,140733,43446,9891,9660,13918,16411,42232
168,Kassel,Hessen,222451,167855,2452,165403,46769,18677,18935,15046,17288,41736
169,Werra-Meißner – Hersfeld-Rotenburg,Hessen,175992,133726,2659,131067,42737,8746,7843,11096,17173,38531
170,Schwalm-Eder,Hessen,188074,145743,2691,143052,44847,9270,9436,13118,18504,41795
171,Marburg,Hessen,183296,142365,1579,140786,37202,14420,13088,12191,16125,42377
172,Lahn-Dill,Hessen,208744,155002,2201,152801,37794,10210,10768,14821,20931,51125
173,Gießen,Hessen,217806,166621,2308,164313,39252,13798,15898,16926,20358,49518
174,Fulda,Hessen,209966,161981,3299,158682,28745,9266,10593,17122,25145,61811
175,Main-Kinzig – Wetterau II – Schotten,Hessen,179307,138193,2167,136026,32069,8938,9614,14144,20927,43147
176,Hochtaunus,Hessen,181516,146315,1706,144609,28947,9562,14074,21713,16132,48436
177,Wetterau I,Hessen,176435,138853,1633,137220,31152,9249,13002,17462,15895,43951
178,Rheingau-Taunus – Limburg,Hessen,220342,173627,2002,171625,35604,11069,15273,22650,20399,59346
179,Wiesbaden,Hessen,189372,139775,1546,138229,29247,13160,16286,18400,15496,40022
180,Hanau,Hessen,177469,134190,1867,132323,31150,10006,11345,15185,18626,39126
181,Main-Taunus,Hessen,197291,160647,1788,158859,28786,9504,16752,26571,16395,54902
182,Frankfurt am Main I,Hessen,199775,144841,1614,143227,29743,17179,19475,19989,13342,37221
183,Frankfurt am Main II,Hessen,223942,172393,1620,170773,33511,20059,26415,24336,13737,45731
184,Groß-Gerau,Hessen,174727,133318,2138,131180,33318,10755,11862,12645,15943,39950
185,Offenbach,Hessen,220194,163580,2286,161294,34519,14261,16421,20372,19050,49302
186,Darmstadt,Hessen,242622,192508,2133,190375,42638,19508,27317,20893,18654,52218
187,Odenwald,Hessen,234422,184974,2745,182229,42516,13433,16084,19948,22258,59635
188,Bergstraße,Hessen,198418,156082,1988,154094,34435,10197,13595,18196,19923,51088
189,Eichsfeld – Nordhausen – Kyffhäuserkreis,Thüringen,216673,158339,2410,155929,21652,22613,4778,11974,32854,52667
190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Thüringen,222558,163154,2268,160886,23206,25171,5596,11545,35824,48340
191,Jena – Sömmerda – Weimarer Land I,Thüringen,203210,155210,1854,153356,19150,28312,9497,13310,30426,42092
192,Gotha – Ilm-Kreis,Thüringen,198341,148065,2187,145878,20391,22920,5411,11218,35091,40576
193,Erfurt – Weimar – Weimarer Land II,Thüringen,221922,168235,2077,166158,23535,32239,12666,14260,30166,42168
194,Gera – Greiz – Altenburger Land,Thüringen,240738,176933,2541,174392,19845,30402,4709,14315,47275,47690
195,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Thüringen,229126,171879,2128,169751,20427,28088,5124,13209,43740,47769
196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Thüringen,234446,170237,2139,168098,22826,28467,5559,11298,38693,50956
197,Neuwied,Rheinland-Pfalz,239284,181607,2547,179060,45447,11338,10738,18071,19273,68357
198,Ahrweiler,Rheinland-Pfalz,195618,151587,1598,149989,34113,8519,10059,17397,14437,60937
199,Koblenz,Rheinland-Pfalz,196999,151153,1524,149629,35679,10332,11862,16152,13701,56616
200,Mosel/Rhein-Hunsrück,Rheinland-Pfalz,172876,135519,1815,133704,30799,8143,7487,14924,11996,55606
201,Kreuznach,Rheinland-Pfalz,185172,139908,1697,138211,37906,9493,8629,13654,16198,47189
202,Bitburg,Rheinland-Pfalz,164480,126879,1831,125048,27255,7433,7710,12888,10058,55591
203,Trier,Rheinland-Pfalz,192846,151551,1670,149881,36950,12934,13512,13841,11926,55882
204,Montabaur,Rheinland-Pfalz,210114,163520,1761,161759,39906,9576,10058,17703,17826,60594
205,Mainz,Rheinland-Pfalz,248996,202534,1655,200879,44203,17148,26415,22608,16535,65713
206,Worms,Rheinland-Pfalz,213627,169793,2128,167665,42471,10811,13449,17543,21978,54721
207,Ludwigshafen/Frankenthal,Rheinland-Pfalz,215595,161867,2410,159457,39822,10614,11621,16321,24641,49226
208,Neustadt – Speyer,Rheinland-Pfalz,220550,176425,2088,174337,37894,10537,15389,19251,22070,61407
209,Kaiserslautern,Rheinland-Pfalz,229114,172316,2552,169764,47986,13548,11360,15519,23206,49400
210,Pirmasens,Rheinland-Pfalz,177687,135065,2349,132716,32794,9511,6156,11803,18652,47455
211,Südpfalz,Rheinland-Pfalz,217633,172369,1962,170407,37293,10975,14788,17560,23191,59309
212,Altötting,Bayern,168221,126786,876,125910,15511,6659,8608,11209,18330,55417
213,Erding – Ebersberg,Bayern,198198,163357,755,162602,19943,8352,17768,19407,19366,63525
214,Freising,Bayern,235746,186647,1015,185632,23029,9506,18036,19308,25178,73650
215,Fürstenfeldbruck,Bayern,232125,190769,922,189847,25929,9633,20886,22005,21934,75621
216,Ingolstadt,Bayern,238605,184059,1214,182845,24424,9830,13205,17154,27673,76236
217,München-Nord,Bayern,226436,174196,668,173528,28903,14302,29334,26241,14982,49953
218,München-Ost,Bayern,239169,186913,745,186168,29744,14124,29866,27459,15959,58483
219,München-Süd,Bayern,216725,170483,659,169824,27500,14694,29560,22587,14578,50686
220,München-West/Mitte,Bayern,241282,193399,778,192621,30617,16638,35605,26356,14895,57322
221,München-Land,Bayern,235172,197265,900,196365,27490,9996,24837,30054,18470,73189
222,Rosenheim,Bayern,235170,186492,1035,185457,20967,9449,18571,20311,25697,75178
223,Bad Tölz-Wolfratshausen – Miesbach,Bayern,165527,132612,795,131817,14457,6486,13605,16343,15391,54786
224,Starnberg – Landsberg am Lech,Bayern,213628,177013,747,176266,22332,9594,23111,24950,17460,67512
225,Traunstein,Bayern,208466,160615,1046,159569,18916,8508,14680,14614,19191,71196
226,Weilheim,Bayern,167159,134333,766,133567,15402,7214,12753,13909,16145,57254
227,Deggendorf,Bayern,166659,119455,701,118754,16915,5892,5528,8968,22765,48182
228,Landshut,Bayern,249836,192966,1266,191700,25095,9270,13856,19361,28061,75521
229,Passau,Bayern,177387,131350,779,130571,19709,7357,8393,11918,20967,52937
230,Rottal-Inn,Bayern,168642,124299,794,123505,15765,5510,6478,11215,20401,52752
231,Straubing,Bayern,173953,129424,1215,128209,17512,5590,5846,10308,23576,53712
232,Amberg,Bayern,215876,169507,1302,168205,26080,8948,11997,12854,21550,71720
233,Regensburg,Bayern,252916,198780,1119,197661,28582,13259,20332,17719,25625,74720
234,Schwandorf,Bayern,216418,162549,1268,161281,26122,7339,7302,10608,28006,66827
235,Weiden,Bayern,168415,130514,1172,129342,24631,6204,6426,8479,17411,55691
236,Bamberg,Bayern,182513,145222,801,144421,22529,9351,14279,13776,18392,56138
237,Bayreuth,Bayern,163934,127222,693,126529,23198,7022,9994,11369,13566,53063
238,Coburg,Bayern,159654,123200,1021,122179,27553,6895,8155,9967,14208,48410
239,Hof,Bayern,167552,126918,1126,125792,27775,7185,6989,9890,16605,48772
240,Kulmbach,Bayern,170897,135072,1160,133912,23675,6431,7966,10335,17997,58112
241,Ansbach,Bayern,243760,185955,1537,184418,31464,12208,16239,13825,21734,74425
242,Erlangen,Bayern,180730,148048,676,147372,25578,11115,19862,14973,13953,52414
243,Fürth,Bayern,255491,198742,1398,197344,37089,15442,20540,17545,23033,69472
244,Nürnberg-Nord,Bayern,192214,146205,902,145303,26456,16962,21909,15412,14503,40106
245,Nürnberg-Süd,Bayern,181809,132085,1107,130978,27467,11640,12166,11199,18679,40882
246,Roth,Bayern,227560,185895,1341,184554,34040,11635,18033,15990,21317,69743
247,Aschaffenburg,Bayern,183362,144938,1508,143430,25198,8699,13432,15610,16642,55009
248,Bad Kissingen,Bayern,216030,171202,1300,169902,26904,10085,11359,15084,19650,75788
249,Main-Spessart,Bayern,196183,157206,1238,155968,28903,8562,11939,13720,16856,65245
250,Schweinfurt,Bayern,199041,156159,1218,154941,26163,10422,11717,13789,18905,63674
251,Würzburg,Bayern,225998,182961,1054,181907,32126,12931,23719,18813,15764,67585
252,Augsburg-Stadt,Bayern,210528,153228,1174,152054,24112,13649,18782,15149,21015,48420
253,Augsburg-Land,Bayern,248812,199077,1231,197846,25240,9737,17447,20565,27045,81831
254,Donau-Ries,Bayern,190782,147825,1000,146825,20289,6687,10102,13440,21585,63638
255,Neu-Ulm,Bayern,239647,182045,1270,180775,24828,9274,14898,18627,27327,72104
256,Oberallgäu,Bayern,226604,176437,1092,175345,21725,10130,19792,18935,18529,72855
257,Ostallgäu,Bayern,247539,191581,1412,190169,23044,10387,16214,19898,25384,79932
258,Stuttgart I,Baden-Württemberg,194368,160834,849,159985,23350,14830,31283,26203,11455,46243
259,Stuttgart II,Baden-Württemberg,182501,139180,1153,138027,23458,12553,21071,19210,14899,40109
260,Böblingen,Baden-Württemberg,245678,196557,1657,194900,30296,10434,24746,29510,22874,68991
261,Esslingen,Baden-Württemberg,168715,135479,1094,134385,22579,8361,19565,18512,14692,44748
